brand,price,fuel,month,year,mileage,power,url
Audi S3 2.0 TFSi quattro,17500.0,Gasolina,Novembro,2006,279981,265,https://www.standvirtual.com/carros/anuncio/audi-s3-2-0-tfsi-quattro-ID8PyN1P.html
VW Golf Variant 1.6 TDi Confortline,8000.0,Diesel,Outubro,2011,168772,105,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PvApr.html
Mercedes-Benz C 220 d Avantgarde,35900.0,Diesel,Janeiro,2020,63800,194,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PzLXL.html
Peugeot 108 1.0 VTi Active,11500.0,Gasolina,Junho,2019,56711,72,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-ID8PzKkZ.html
Land Rover Range Rover Sport,47900.0,Híbrido (Diesel),Dezembro,2014,126523,340,https://www.standvirtual.com/carros/anuncio/land-rover-range-rover-sport-ID8OVXdZ.html
Land Rover Range Rover Sport 3.0 SDV6 HSE Dynamic,51900.0,Diesel,Dezembro,2017,215321,306,https://www.standvirtual.com/carros/anuncio/land-rover-range-rover-sport-3-0-sdv6-hse-dynamic-ID8Pz2VH.html
Suzuki XL7,10690.0,Gasolina,Junho,2009,130000,256,https://www.standvirtual.com/carros/anuncio/suzuki-xl7-ID8PssWg.html
Opel Corsa 1.3 CDTi Cosmo,2690.0,Diesel,Junho,2006,259632,90,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-cosmo-ID8PrCnC.html
Saab 9-3 Cabriolet 2.0T BioPower Aut. Linear,9900.0,Gasolina,Setembro,2005,136523,200,https://www.standvirtual.com/carros/anuncio/saab-9-3-cabriolet-2-0t-biopower-aut-linear-ID8PvaWt.html
SEAT Ateca 1.0 TSI Style,25980.0,Gasolina,Janeiro,2022,24239,110,https://www.standvirtual.com/carros/anuncio/seat-ateca-1-0-tsi-style-ID8PzUHg.html
Nissan Leaf Acenta,16900.0,Eléctrico,Junho,2018,64460,150,https://www.standvirtual.com/carros/anuncio/nissan-leaf-acenta-ID8Pz7AK.html
Fiat Punto 1.2 Lounge S&S,8700.0,Gasolina,Novembro,2016,114765,69,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-2-lounge-s-s-ID8PyeNd.html
Peugeot 3008 BlueHDi 130 Stop & Start EAT8 Allure,19999.0,Diesel,Julho,2017,151233,130,https://www.standvirtual.com/carros/anuncio/peugeot-3008-bluehdi-130-stop-start-eat8-allure-ID8PzuN5.html
Citroën C4 Grand Picasso,5999.0,Diesel,Junho,2008,231543,109,https://www.standvirtual.com/carros/anuncio/citron-c4-grand-picasso-ID8Pxm2d.html
Renault Grand Scénic 1.5 dCi Confort Authenti.,3999.0,Diesel,Julho,2005,243221,100,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-confort-authenti-ID8Pz1fc.html
Volvo V60 2.4 D6 Momentum AWD Phev,24500.0,Híbrido (Diesel),Maio,2018,95000,286,https://www.standvirtual.com/carros/anuncio/volvo-v60-2-4-d6-momentum-awd-phev-ID8Pz4kq.html
Smart ForFour 0.9 Passion 90,8990.0,Gasolina,Setembro,2015,130000,90,https://www.standvirtual.com/carros/anuncio/smart-forfour-0-9-passion-90-ID8Pz4dE.html
VW Tiguan 1.6 TDI Confortline,20900.0,Diesel,Novembro,2017,124000,115,https://www.standvirtual.com/carros/anuncio/vw-tiguan-1-6-tdi-confortline-ID8PyGjS.html
Ford Cortina,4900.0,Gasolina,Janeiro,1980,27026,66,https://www.standvirtual.com/carros/anuncio/ford-cortina-ID8Pyako.html
BMW X2 20 d xDrive Auto Pack M,38500.0,Diesel,Janeiro,2020,68000,190,https://www.standvirtual.com/carros/anuncio/bmw-x2-20-d-xdrive-auto-pack-m-ID8PrOUf.html
Peugeot 208 1.2 VTi Active,9450.0,Gasolina,Novembro,2015,107752,82,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-vti-active-ID8PzapZ.html
Opel Zafira 1.6 CDTi Innovation S/S,19500.0,Diesel,Maio,2019,96600,134,https://www.standvirtual.com/carros/anuncio/opel-zafira-1-6-cdti-innovation-s-s-ID8PwCMX.html
BMW 116 d EfficientDynamics Edition Sport Line,13990.0,Diesel,Janeiro,2013,222000,116,https://www.standvirtual.com/carros/anuncio/bmw-116-d-efficientdynamics-edition-sport-line-ID8PzFmx.html
VW Sharan 2.0 TDI Highline DSG,26700.0,Diesel,Maio,2017,126223,150,https://www.standvirtual.com/carros/anuncio/vw-sharan-2-0-tdi-highline-dsg-ID8PzK7j.html
Jeep Compass 1.6 M-Jet Limited,23940.0,Diesel,Junho,2018,72000,120,https://www.standvirtual.com/carros/anuncio/jeep-compass-1-6-m-jet-limited-ID8PrfHK.html
Citroën C5 Aircross 1.5 BlueHDi C-Series,29950.0,Diesel,Maio,2021,45000,130,https://www.standvirtual.com/carros/anuncio/citron-c5-aircross-1-5-bluehdi-c-series-ID8Pt5wY.html
Citroën C5 Aircross 1.5 BlueHDi Feel,28200.0,Diesel,Agosto,2021,32000,130,https://www.standvirtual.com/carros/anuncio/citron-c5-aircross-1-5-bluehdi-feel-ID8Pvy4i.html
